"scientificName","genus","specificEpithet","infraspecificEpithet","ID","occurrenceID","basisOfRecord","eventDate","year","month","day","institutionCode","recordedBy","country","county","stateProvince","locality","latitude","longitude","coordinateUncertaintyInMeters","informationWithheld","habitat","aggregator","accepted_name"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3958501061","q-10537428864","HUMAN_OBSERVATION","2022-03-15T20:09:37.552Z",2022,3,15,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",34.99,-83.44,4,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3956497623","q-10309323067","HUMAN_OBSERVATION","2021-03-15T01:48:09.468Z",2021,3,15,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",34.95,-82.94,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3954638444","q-10311932591","HUMAN_OBSERVATION","2021-03-21T19:51:15.921Z",2021,3,21,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.53,-82.98,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3952414639","q-10313153759","HUMAN_OBSERVATION","2021-03-24T20:31:39.866Z",2021,3,24,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.22,-82.62,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3958396827","q-10313336455","HUMAN_OBSERVATION","2021-03-25T11:51:26.236Z",2021,3,25,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.16,-82.73,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3953890110","q-10499684451","HUMAN_OBSERVATION","2021-10-29T15:36:16.728Z",2021,10,29,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.61,-82.57,62,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2649806698","q-10136848607","HUMAN_OBSERVATION","2020-03-19T22:41:47.835Z",2020,3,19,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.66,-82.34,65,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2977126654","q-10164402994","HUMAN_OBSERVATION","2020-05-11T20:26:01.343Z",2020,5,11,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.49,-82.61,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2813823309","urn:catalog:MO:Tropicos:101203647","PRESERVED_SPECIMEN","2020-06-22",2020,6,22,"MO","Alanna Sanders","United States of America","Pickens","South Carolina","locality:  Protected due to name conservation status, occurrenceRemarks: NA, verbatimLocality: NA",35.01,-82.98,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3707733251","dcab888e-cf26-4c48-aad3-673e7c608baa","PRESERVED_SPECIMEN","2018-02-27",2018,2,27,"MMNS","Charles T. Bryson; N.B. Bryson, John & Laurie Gwaltney","United States of America","Henderson","North Carolina","locality:  ca. 8.7 air mi SW of Hendersonville, S of Crab Creek Road (Rd 1127), occurrenceRemarks: NA, verbatimLocality: NA",35.24,-82.57,NA,NA,"plants growing on mesic slope above small stream under mixed hardwood and conifer forest","GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3955926039","q-10024453068","HUMAN_OBSERVATION","2018-04-05T20:42:11.089Z",2018,4,5,NA,NA,"United States of America",NA,NA,"locality:  NA, occurrenceRemarks: NA, verbatimLocality: NA",35.49,-82.6,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234463056","aed5ce05-9ec8-4782-ad56-a7dba651a604","PRESERVED_SPECIMEN","1987-03-23",1987,3,23,"NCU","Ward, James L.; Andrews, J.; Baker, M. J.; Jahncke, S.","United States of America","Orange","North Carolina","locality:  Mountain habitat. N.C. Botanical Garden, occurrenceRemarks: NA, verbatimLocality: NA",35.9,-79.03,54,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"4442865312","DSHG19_clean","MATERIAL_CITATION","1987-03-23",1987,3,23,NA,NA,"United States of America",NA,NA,"locality:  Oconee, South Carolina. S end Lake Jocassee at Devil's fork access area, with boat launch and beach, , occurrenceRemarks: NA, verbatimLocality: NA",34.96,-82.91,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"4442865310","DSHG31_clean","MATERIAL_CITATION","1980-05-20",1980,5,20,NA,NA,"United States of America",NA,NA,"locality:  Macon County: Cultivated on the grounds at Highland Biological Station, Highlands, NC, occurrenceRemarks: NA, verbatimLocality: NA",35,-83.1,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234339181","237bd921-5381-4d9d-be4c-f32c7890b0d6","PRESERVED_SPECIMEN","1976-06-29",1976,6,29,"NCU","Michener, D. C.","United States of America","Transylvania","North Carolina","locality:  at the confluence of Bearwallow Creek and the Toxaway River, occurrenceRemarks: NA, verbatimLocality: NA",35.08,-82.9,210,NA,"shaded wet rock outcrops in laurel thicket/hemlock woods; common here","GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234463487","256b3a1c-67b6-4bcf-bf19-08ec87d6218d","PRESERVED_SPECIMEN","1970-03-18",1970,3,18,"NCU","Ellis, E. Ann","United States of America","Orange","North Carolina","locality:  near Botany Pond, occurrenceRemarks: NA, verbatimLocality: NA",35.89,-79.02,128,NA,"Stream bank covered with bryophytes","GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"5053565498","7551e738-4c49-42b5-8d7e-d6f39c88515b","PRESERVED_SPECIMEN","1967-03-23",1967,3,23,"KU","Robert W Powell, Jr","United States of America","Oconee","South Carolina","locality:  Devils Fork, 1 mi W of confluence with Whitewater River, Jocassee community, occurrenceRemarks: NA, verbatimLocality: NA",34.98,-82.98,1072,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"5053562574","b00e54a9-d012-42f0-9f3c-f33a0e7fa2ef","PRESERVED_SPECIMEN","1944-03-18",1944,3,18,"KU","A E Prince; J A Berly; O L Cartwright","United States of America","Oconee","South Carolina","locality:  By Whitewater River, above Jocassee, occurrenceRemarks: Nearly if not exactly the type locality. Corolla white or very pale pink or blue., verbatimLocality: NA",34.99,-82.97,3923,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2234464118","ccf125cc-5b7b-4fe6-96a2-4bf1ea1f8eb2","PRESERVED_SPECIMEN","1928-03-26",1928,3,26,"NCU","Raper, Kenneth Bryan","United States of America","Orange","North Carolina","locality:  PLANTS OF CHAPEL HILL, N.C. [North Carolina] by branch, south of ""Tin Can"" gymnasium, occurrenceRemarks: NA, verbatimLocality: NA",35.91,-79.05,2206,NA,"Deep woods","GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"3749715480","https://pi.jacq.org/PI055888","PRESERVED_SPECIMEN","1897-04-07",1897,4,7,"PI","Biltmore Herbarium s.n. [1897-04-07] Biltmore Herbarium 919 b|Biltmore Herbarium","United States of America",NA,NA,"locality:  White Water Valley, Oconee County, South Carolina, occurrenceRemarks: NA, verbatimLocality: NA",35.02,-83.02,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"2251707448","bd0d9adb-b276-456c-847a-1dcb1587839e","PRESERVED_SPECIMEN","1879-04-01",1879,4,1,"NY","M. E. Hyams","United States of America","McDowell Co.","North Carolina","locality:  NA, occurrenceRemarks: While the label says this was collected by M.E. Hyams, in the literature Gray acknowleges that M.E. Hyams son, George McQueen Hyams, actually collected the plant., verbatimLocality: NA",35.68,-82.05,NA,NA,NA,"GBIF","Shortia galacifolia"
"Shortia galacifolia","Shortia","galacifolia",NA,"6953993c-19f0-48c7-a2e6-fd82ff9b05ca","7cae2160-0bbd-4c2f-a59b-955dd8143c90","PreservedSpecimen",NA,NA,NA,NA,"NCSC",NA,"United States","Rabun","Georgia","Locality: NA Occurrence Remarks: NA Verbatim Locality: NA",34.88,-83.4,NA,NA,NA,"iDigBio","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"85b4cae0-40db-4eaf-adc9-5f60baa8bb89","urn:catalog:UConn:CONN:CONN00108026","Preserved Specimen","1948-06-10",1948,6,10,"UConn","W.M. Buswell","USA","Macon County","North Carolina","Locality: Highlands Occurrence Remarks: NA Verbatim Locality: NA",35.05,-83.2,NA,NA,NA,"iDigBio","Shortia galacifolia"
"Shortia galacifolia","Shortia","galacifolia",NA,"c21d9997-3a7d-4963-8db8-df12287ab14d","dc6be5db-c6cc-416f-811d-d052274c5746","PreservedSpecimen",NA,NA,NA,NA,"NCSC",NA,"United States","McDowell","North Carolina","Locality: NA Occurrence Remarks: NA Verbatim Locality: NA",35.7,-82.06,30000,NA,NA,"iDigBio","Shortia galacifolia"
"Shortia galacifolia","Shortia","galacifolia",NA,"da7f6a54-8d35-4a3d-9e8f-7eddd966d651","869ed3aa-ef1b-4cdd-a2ad-89d7232b404b","PreservedSpecimen",NA,NA,NA,NA,"NCSC",NA,"United States","Transylvania","North Carolina","Locality: NA Occurrence Remarks: NA Verbatim Locality: NA",35.23,-82.79,30000,NA,NA,"iDigBio","Shortia galacifolia"
"Shortia galacifolia","Shortia","galacifolia",NA,"dad74090-bed2-43eb-8823-23589ad58dab","90c3ee06-ed56-4e35-b6ed-d3e2818960f0","PreservedSpecimen",NA,NA,NA,NA,"NCSC",NA,"United States","Buncombe","North Carolina","Locality: NA Occurrence Remarks: NA Verbatim Locality: NA",35.62,-82.55,35000,NA,NA,"iDigBio","Shortia galacifolia"
"Shortia galacifolia Torr. & A.Gray","Shortia","galacifolia",NA,"f7f2a959-7af6-4f6f-bc5c-303466c45b39","urn:catalog:UConn:CONN:CONN00108024","Preserved Specimen","1896-03-31",1896,3,31,"UConn",NA,"USA","Oconee","South Carolina","Locality: Whitewater Valley, Jocassee Occurrence Remarks: NA Verbatim Locality: NA",34.97,-82.94,5000,NA,NA,"iDigBio","Shortia galacifolia"
