"locality string","country","state","county","latitude","longitude","correction status","precision","error polygon","multiple results","ID","name","basis"
NA,"united states","south carolina","oconee",NA,NA,"","","","","764b4990-c31b-4d83-8e3e-210f556de931","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens county",NA,NA,"","","","","77a0c371-6005-4ffa-a465-e266433ec6eb","shortia galacifolia","PreservedSpecimen"
"Found at the Fish Hatchery Branch about 1 1/2 mi. above Hatchery. It is very abundant on both banks for about 1/2 mi. and sometimes solid for 20x12 ft. To be sure to find this go to Fish Hatchery ang go up F.H. Branch (creek) for perhaps 1/2 mile and come to a valley pasture through which the branch runs. A saw mill was located here. There is now a pile of saw dust. Where the branch enters the open pasture from the woods, the Shortia begins and as far up as we went, about 1/4 mi., was in great abundance.","united states","north carolina","mcdowell",NA,NA,"","","","","78273178-e200-49bc-ad38-1d2c69a4d98c","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","7848e919-5cce-454a-9434-4ebcfd142588","shortia galacifolia","PreservedSpecimen"
NA,"united states","tennessee","polk",NA,NA,"","","","","7996be2a-5d2b-4c3a-98b1-feea174b4eba","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","79c3c84f-728e-4824-9aac-be974151726e","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","7a3ea93e-4f2d-4569-ac14-2cf5a08fdb41","shortia galacifolia","PreservedSpecimen"
"Transylvania County, NC","united states","north carolina","transylvania county",NA,NA,"","","","","7a471850-2f7d-417b-971c-bb64d6569fa1","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","7a6e81b5-674b-4ac5-b842-087f3609653f","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","7abbe27e-dce9-4399-abf2-b35280315168","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","7b8dd424-3f89-4e39-a1aa-b82adea8a34e","shortia galacifolia","PreservedSpecimen"
NA,"united states","virginia","amherst",NA,NA,"","","","","7c2c578b-0e0c-4a96-b0f9-f18521274b97","shortia galacifolia","PreservedSpecimen"
"Joyce Kilmer Memorial Forest","united states","north carolina","graham county",NA,NA,"","","","","7cd61c5f-38ce-4cd7-8070-3e02a78b88ce","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","7d5843d8-47ec-437f-953c-75a7af356f6b","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","7d6859fc-c336-4f80-b688-4a935d14bb0c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","7d994ca0-9b42-490e-b1af-3a717f555465","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","7ef95faa-a92d-442d-a142-188b7718ae3c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","7f33b24e-15f0-487d-b795-b25f9c086b1b","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","7ffce35f-e8e3-410f-b173-2797d8eb812a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","80b6ce1c-2e41-4c02-b48b-572c3800a435","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","813acad0-11a8-4f61-855e-3427a85c8ac3","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","823e0aa0-12a2-4ec8-93ff-8203c4ba426e","shortia galacifolia","PreservedSpecimen"
"Texas; Texas Jim Hogg Co. Along S side of rd TXhwy 285, 0.5 mi E of FM 1017 ca 1.5 mi E of Hebbronville. Across from was","united states",NA,NA,NA,NA,"","","","","8500b6e3-cf11-4802-9926-a3b70d1ba162","shortia galacifolia","PreservedSpecimen"
"Fuller Tract, upland woods to ravines.","united states","kentucky","powell",NA,NA,"","","","","850a26de-d2b8-4408-af1a-e0dfb391449e","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","852e1de9-cf3f-4d43-b00e-afa6730d039a","shortia galacifolia","PreservedSpecimen"
NA,"united states","virginia","amherst",NA,NA,"","","","","85cb8b91-e886-4c43-8b74-455cfa7cf4a8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","869b3cee-418c-4c8d-9b8d-d58831537e38","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","885760c7-bd21-4314-86c7-24eb451529c9","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","jackson",NA,NA,"","","","","893421c5-2cd4-47ad-be3c-b07d5110a1a4","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","8a4bb700-70c8-4691-abc3-78cc5edf6962","shortia galacifolia","PreservedSpecimen"
"Reed Creek, South of Glade Mountain","united states","georgia","rabun county",NA,NA,"","","","","8ac23160-b944-48a5-8873-efdbe248b1f7","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","8ae3c624-b9fd-4ca4-ba6a-eeb1ac289fc6","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","8af47612-a215-4e09-b2bd-f25b013d2b67","shortia galacifolia","PreservedSpecimen"
"home of M. N. Ross, Arden.","united states","north carolina","buncombe",NA,NA,"","","","","8b147068-b232-442c-8b7e-1b0235e53fc2","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania co.",NA,NA,"","","","","8bab431c-1383-4828-9044-f2612e49944b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","8d8e7a1f-ca83-43dd-ba21-f1ac6653e494","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","8f72692a-5982-4656-ae8f-6f673031af7e","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","8fce872d-e65c-42dc-88c1-acfe7fbdf8f2","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","90127b54-a4c2-4d68-8564-8b6ea14069f7","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","90a2952e-8d41-4232-beaf-7e6b27d9dbc0","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","914cba15-fdf4-4e44-91ca-d549521d9925","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","91675b88-0866-4aa9-871e-d8aa867cf109","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens county",NA,NA,"","","","","91875186-60a9-4749-aee3-2300dde5550f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","91a54e51-536d-465e-bf24-59cafd616dbd","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","91be2c2f-dfc7-4708-a63f-5e2bbd6b65ed","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","9368e88b-4346-4783-afe5-d4c7db785be4","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","93e767f7-6781-4244-893b-f5eab82d18ac","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","97681933-522e-4bb3-822d-707a7a9dc343","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee / pickens",NA,NA,"","","","","9aa85968-601a-42fd-827e-649cf0136ca8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","9b5be39e-e18f-4ef5-ac01-44474ff361e6","shortia galacifolia","PreservedSpecimen"
NA,"united states",NA,NA,NA,NA,"","","","","9cce79db-e572-40c2-a810-b0d8b83619bf","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","9e05dabe-fd1e-4684-a5a2-a86fbc672ec8","shortia galacifolia","PreservedSpecimen"
"John's Creek/Fish Hatchery","united states","north carolina","mcdowell",NA,NA,"","","","","9ffe962b-fc33-4894-bf6d-586b3b2b7e1b","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","a0857b66-046d-42c7-a20b-60dcdfa40a46","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","a3478e4d-01c6-42b2-9033-4f5565a8cf3b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","a4b3a412-dc98-4754-86b2-e6231d29d8bc","shortia galacifolia","PreservedSpecimen"
NA,"united states","georgia","rabun",NA,NA,"","","","","a4c440c6-73a9-4ec0-aa71-133f9c1fa729","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","a4e93f5f-f62a-468e-acc5-68045d9e8663","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","a4ea11a1-6a03-4b32-adf5-16cbe375785a","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","macon",NA,NA,"","","","","a6fc1cfb-3efb-4fc3-b09c-e79e0c970420","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","a7552a3b-5b3f-4611-9b82-e627c8b92c51","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","a846928a-7743-449b-9397-f0f2e4a8bec1","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee / pickens",NA,NA,"","","","","aa223326-7a40-4b39-8e2f-0403e2da97aa","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","aa2d1d12-65c9-4cc1-8f1a-2549a61a20b0","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","aa818703-106a-4ef5-b18c-2f30f25e923a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee co.",NA,NA,"","","","","abfaeb2b-686e-4c87-a740-f052640d53ec","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","unspecified county",NA,NA,"","","","","ae8f17b5-b8b7-4eac-a930-0bf45e693930","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","jackson",NA,NA,"","","","","aec61861-74e0-4e96-9336-7c8edeee2d9f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","afe21f4c-4012-4861-bd07-81a0a608731a","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","b0136508-eff5-448a-a8ae-a582396a6bfc","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","b0fac61b-b735-4e37-ab90-3489bc3a2c04","shortia galacifolia","PreservedSpecimen"
"Home of M. N. Ross of Arden, NC.","united states","north carolina","buncombe",NA,NA,"","","","","b30404f1-518a-4032-a558-1310d078033d","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","b5b7ef91-2e5e-4285-a162-fe4ae83e39d7","shortia galacifolia","PreservedSpecimen"
"McDowell County, North Carolina, U.S.A.","united states","north carolina","mcdowell",NA,NA,"","","","","b6d8521a-0ad5-43ee-8936-21c0abd2f231","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","b6ec00e5-a9d9-42a9-bc7b-52f444b08876","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","b6f9d0fd-7661-4a44-b931-1977bd46afe0","shortia galacifolia","PreservedSpecimen"
"Wilmington","united states","delaware","new castle",NA,NA,"","","","","b7595e51-bcbf-4bf9-9a43-36c7c5f6a8cf","shortia galacifolia","PreservedSpecimen"
"from garden of Wm. A. Knight, Biltmore Forest","united states","north carolina","buncombe",NA,NA,"","","","","b79d9198-050b-4570-b05e-19ee2484f4e5","shortia galacifolia","PreservedSpecimen"
NA,"united states","tennessee","monroe",NA,NA,"","","","","b90dbd61-937f-403b-9742-33f3d8818f24","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","b922e6fb-9cee-4fc8-bf29-54c40442cb81","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","b9e7b119-8b0e-4278-879a-e951e8b34c2f","shortia galacifolia","PreservedSpecimen"
NA,"united states","washington, d.c.",NA,NA,NA,"","","","","ba28bab8-b35d-4da4-b4a4-28ec96dd73dd","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","ba681459-572c-42db-b5cc-3a60ffd871e4","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","bb706a86-5836-4fba-b0dd-3cac9fb33cde","shortia galacifolia","PreservedSpecimen"
"Highland Nursery at Pineola, N.C.","united states","north carolina","avery",NA,NA,"","","","","bb75d848-80a3-4d21-ad73-2cb200e0a622","shortia galacifolia","PreservedSpecimen"
"Toms Creek","united states","north carolina","mcdowell county",NA,NA,"","","","","bbe819b8-6958-4bc0-808c-d93b766ee35b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","bc2cd2ed-bba1-4b55-9d43-17c772dae1d2","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","bc676c73-4a86-444d-beab-ea24e685b84f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","bc77168b-fa7d-4ad9-a02d-1028ac7c509e","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","bd81135d-a7e7-4f37-b4bc-d9139fc6005c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens county",NA,NA,"","","","","bde182f7-bfc8-4e9e-94c2-9197673dac5e","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","bf6e8a98-5dd0-48e6-b89a-965ef8675cba","shortia galacifolia","PreservedSpecimen"
"Sapphire","united states","north carolina","transylvania county",NA,NA,"","","","","c092b335-3dcd-4ec7-8a67-b3e04e856c27","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","c10c1b6d-09e6-4c49-9b35-6116881e2e05","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","c15c8c32-3a1b-44bb-ba87-a0ef0ace7a32","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","oconee",NA,NA,"","","","","c1e8e9be-7699-4e8d-be07-a318ee838b44","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","c21d9997-3a7d-4963-8db8-df12287ab14d","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","c3113876-6efc-4d03-87c5-ffbe2903991b","shortia galacifolia","PreservedSpecimen"
"Transylvania County, NC","united states","north carolina","transylvania county",NA,NA,"","","","","c395f348-cdec-4e14-962c-7c4436a8281f","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","c47837b3-bbe6-4636-be90-afb87d970686","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","c730f798-aea5-4841-be07-9d76a5a5b344","shortia galacifolia","PreservedSpecimen"
NA,"united states","tennessee","mcminn",NA,NA,"","","","","c77c8b2a-7591-46b2-9320-655653670082","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","c7ae8871-8801-416b-9b80-213fa2612745","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee co.",NA,NA,"","","","","c7fee786-f8a8-4bca-b5c1-68a8cd6eb9aa","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","c8b94c08-e400-47e0-886d-b8ab868f4ff3","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","c8cc088b-81b8-4718-8fd7-bc5c9666af18","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","ca806847-38ec-454d-aada-a5fc713d31f2","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","cad127f4-df7a-4351-8d51-ebf658a838d7","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","caf7cebf-2611-4299-a4d9-d122606e78c8","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","cb7536ff-e30a-4438-97a0-bbcad7e6fe1c","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","cd5eb7f9-12d5-4904-b56c-b37d6fd81e14","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","cd742ae0-4453-4ea7-8b58-0cbfcafe17e8","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","cde20bfb-f8cd-444f-98a2-c437c2083f78","shortia galacifolia","PreservedSpecimen"
NA,NA,NA,NA,NA,NA,"","","","","cee62206-bbf1-4a51-bf7d-0f43fd009fa7","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","cf00f8a7-035b-442b-83f1-31d85e31969c","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","cfa42779-13b8-4d7c-a32c-2bc2dbe2484a","shortia galacifolia","PreservedSpecimen"
"Near Toxaway, N.C. 16 miles from the highway. Sent us by R.P. Ashworth. Collected by Jack Dendy and D.S. Trammele and first transplanted to Henderson, N.C.","united states","north carolina",NA,NA,NA,"","","","","d2f09681-1dd1-4ca9-b0ce-ef3d2525154d","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","pickens",NA,NA,"","","","","d3625a0b-9d1e-4537-9a77-662f3993b170","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","d562b460-2124-41f4-87a4-24f844bb7a64","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina",NA,NA,NA,"","","","","d7a68a12-f6b8-4ceb-9ef4-a101f671a0ac","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","d91a7106-2e15-47f0-93db-671e3d0f0404","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","da7f6a54-8d35-4a3d-9e8f-7eddd966d651","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","buncombe",NA,NA,"","","","","dad74090-bed2-43eb-8823-23589ad58dab","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","db51eb87-40be-4651-974e-6e5bc71eeb95","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","greenville",NA,NA,"","","","","db56e016-dd4c-4cef-8fb2-8ad8bbca1099","shortia galacifolia","PreservedSpecimen"
"Plentiful along stream (above railway) that runs under C. C. & O. Ry. track just across from Joe McNulty's house. This is farther down same stream as no. 3 collection and probably occurs all the way between these stations.","united states","north carolina","mcdowell",NA,NA,"","","","","dbae0f76-7566-43e8-8790-fefa67f6b451","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","dbb07b87-97e6-4014-a19f-ae8ae10b5a5a","shortia galacifolia","PreservedSpecimen"
"San Diego","united states","california","san diego",NA,NA,"","","","","dc9961a4-6ae4-4bff-9952-19dea4583fad","shortia galacifolia","PreservedSpecimen"
NA,"united states","virginia","patrick",NA,NA,"","","","","dcb0c23b-2d0b-47b6-b9b7-c0c59fb45a74","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","dd0656ad-1e7e-4b8f-bfa6-8544223b3ef3","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","de6ffa2f-ad08-4907-b9ae-f01bd5dc4c0e","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","e01f9555-d36c-470b-8f64-847b00dacf84","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","e2c04175-7e2a-481e-aa5d-c321d406c99b","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee",NA,NA,"","","","","e31d039a-b94f-406a-a30c-5f1ed5f30957","shortia galacifolia","PreservedSpecimen"
"Cove near Horsepasture River D P Co. Tract","united states","north carolina","macon",NA,NA,"","","","","e334fece-2e45-45e1-9a22-bc5a7273653f","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","mcdowell",NA,NA,"","","","","e3cd0c17-829c-45a0-bc0f-3bce48f73127","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina",NA,NA,NA,"","","","","e49ba1be-9b0e-412b-86f0-d7b1f89faa31","shortia galacifolia","PreservedSpecimen"
NA,"united states","south carolina","oconee county",NA,NA,"","","","","e4aec98d-dd45-466b-8b7d-b8e623831788","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina","transylvania",NA,NA,"","","","","e5c4ac0e-45ed-47a7-8c1c-5ad5978abaaf","shortia galacifolia","PreservedSpecimen"
NA,"united states","north carolina",NA,NA,NA,"","","","","e5eac295-810e-4458-b034-db87d2558a3e","shortia galacifolia","PreservedSpecimen"
