packages,version
dplyr,1.0.9
tidyr,1.2.0
plyr,1.8.7
spocc,1.2.0
ridigbio,0.3.5
tibble,3.1.7
tidyverse,1.3.1
rbison,1.0.0
CoordinateCleaner,2.0.20
lubridate,1.8.0
ggplot2,3.3.6
gtools,3.9.3
raster,3.5.21
sp,1.5.0
spatstat,2.3.4
spThin,0.2.0
fields,14
ggspatial,1.1.6
rgdal,1.5.32
rangeBuilder,1.6
sf,1.0.7
dismo,1.3.5
devtools,2.4.3
ENMeval,2.0.3
caret,6.0.92
usdm,1.1.18
stringr,1.4.0
factoextra,1.0.7
FactoMineR,2.4
multcompView,0.1.8
ggsci,2.9
gridExtra,2.3
ecospat,3.3
rJava,1.0.6
viridis,0.6.2
ENMTools,1.0.6
ape,5.6.2
RStoolbox,0.3.1.9999
hypervolume,3.0.4
phytools,1.0.3
picante,1.8.2
leaflet,2.1.1