idigbio,gbif_occurence_raw,bison,rename,bisonB
scientificname,scientificName,name,name,name
data.dwc:basisOfRecord,basisOfRecord,basisOfRecord,basis,basisOfRecord
eventdate,eventDate,date,date,date
institutionid,institutionID,institutionID,institutionID,institutionID
collectioncode,collectionCode,provider,collectionCode,provider
collectionid,collectionID,collectionID,collectionID,collectionID
country,country,countryCode,country,countryCode
county,county,calculatedCounty,county,calculatedCounty
stateprovince,stateProvince,stateProvince,state,stateProvince
data.dwc:locality,locality,verbatimLocality,locality,verbatimLocality
data.dwc:decimalLatitude,latitude,latitude,Latitude,latitude
data.dwc:decimalLongitude,longitude,longitude,Longitude,longitude
uuid,key,occurrenceID,ID,occurrenceID
data.dwc:coordinateUncertaintyInMeters,coordinateUncertaintyInMeters,coordinateUncertaintyInMeters,coordinateUncertaintyInMeters,coordinateUncertaintyInMeters
data.dwc:informationWithheld,informationWithheld,NA,informationWithheld,informationWithheld
data.dwc:habitat,habitat,NA,habitat,habitat
prov,prov,prov,prov,prov